Month Year,Cohort Index,Playerid
2021-03,1,3277
2021-03,2,2813
2021-03,3,2225
2021-03,4,1973
2021-03,5,1788
2021-03,6,1570
2021-03,7,2337
2021-03,8,2387
2021-03,9,2311
2021-03,10,2214
2021-03,11,2257
2021-03,12,2119
2021-03,13,2042
2021-04,1,3757
2021-04,2,2140
2021-04,3,1706
2021-04,4,1440
2021-04,5,1220
2021-04,6,2172
2021-04,7,2263
2021-04,8,2114
2021-04,9,1992
2021-04,10,2051
2021-04,11,1891
2021-04,12,1646
2021-05,1,1666
2021-05,2,735
2021-05,3,498
2021-05,4,346
2021-05,5,754
2021-05,6,801
2021-05,7,768
2021-05,8,732
2021-05,9,722
2021-05,10,695
2021-05,11,565
2021-06,1,1110
2021-06,2,390
2021-06,3,207
2021-06,4,413
2021-06,5,463
2021-06,6,432
2021-06,7,406
2021-06,8,407
2021-06,9,367
2021-06,10,311
2021-07,1,2260
2021-07,2,1115
2021-07,3,1460
2021-07,4,1470
2021-07,5,1404
2021-07,6,1324
2021-07,7,1309
2021-07,8,865
2021-07,9,377
2021-08,1,913
2021-08,2,591
2021-08,3,513
2021-08,4,486
2021-08,5,429
2021-08,6,429
2021-08,7,271
2021-08,8,148
2021-09,1,7298
2021-09,2,4960
2021-09,3,3908
2021-09,4,3468
2021-09,5,3446
2021-09,6,2758
2021-09,7,2088
2021-10,1,3945
2021-10,2,2004
2021-10,3,1503
2021-10,4,1417
2021-10,5,1161
2021-10,6,833
2021-11,1,2411
2021-11,2,1098
2021-11,3,820
2021-11,4,686
2021-11,5,488
2021-12,1,1742
2021-12,2,809
2021-12,3,559
2021-12,4,407
2022-01,1,3013
2022-01,2,1402
2022-01,3,768
2022-02,1,3820
2022-02,2,937
2022-03,1,1175
